image_id,description,topic_fit,out_name
42094536,Young latin woman wearing casual clothes smiling with happy face winking at the camera doing victory sign. number two.,0.713296,42094536_voice5_0.713296.wav
30617613,Young hispanic woman wearing casual clothes sitting on the table doing happy thumbs up gesture with hand. approving expression looking at th,0.713522,30617613_voice1_0.713522.wav
36483130,"Young asian sport woman holding a mat isolated receiving a pleasant surprise, excited and raising hands.",0.713949,36483130_voice0_0.713949.wav
37381014,"young afro woman feeling happy, surprised and proud, shouting and celebrating success with a big smile",0.714342,37381014_voice1_0.714342.wav
48263848,"Young caucasian man eating noodles isolated on blue background showing fist to camera, aggressive facial expression.",0.714564,48263848_voice0_0.714564.wav
9922561,"Excited man shouting from joy, winning prize and rejoicing, raising hands up and yelling yes with satisfied face, triumphing, achieve goal, ",0.714616,9922561_voice8_0.714616.wav
37973967,Beautiful young african american woman wearing denim jacket over isolated background shouting with crazy expression doing rock symbol with h,0.714945,37973967_voice2_0.714945.wav
49673210,excited young man reading good news and celebrating the victory,0.716529,49673210_voice6_0.716529.wav
36366967,"Young hispanic woman wearing business shirt and glasses puffing cheeks with funny face. mouth inflated with air, crazy expression.",0.716726,36366967_voice8_0.716726.wav
39703504,"young pretty woman shouting triumphantly, looking like excited, happy and surprised winner, celebrating against pink wall",0.717344,39703504_voice1_0.717344.wav
10530259,Photo of young handsome crazy amazed male advertising product sale discount isolated on blue color background,0.717771,10530259_voice1_0.717771.wav
36572575,"young woman smiling cheerfully and celebrating, with fists clenched and arms crossed, feeling happy and positive",0.718497,36572575_voice6_0.718497.wav
57438890,"Young african amercian man holding paper airplane covering mouth with hand, shocked and afraid for mistake. surprised expression",0.719016,57438890_voice1_0.719016.wav
93712445,Beautiful african american girl wearing red jacket and sunglasses over isolated background celebrating surprised and amazed for success with,0.719432,93712445_voice1_0.719432.wav
16736936,Black and white portrait of beautiful shocked woman hearing good news or having great success with surprised and happy face. facial expressi,0.720186,16736936_voice8_0.720186.wav
42864292,"Beautiful young caucasian woman wearing casual clothes winking looking at the camera with sexy expression, cheerful and happy face.",0.720772,42864292_voice6_0.720772.wav
35978144,Young brunette in casual wear isolated on green background happy look to camera shocked amazed surprised cover mouth with hands,0.721356,35978144_voice5_0.721356.wav
36094886,"Young brunette woman wearing white knitted sweater against white background Shouting frustrated with rage, hands trying to strangle, yelling",0.722343,36094886_voice4_0.722343.wav
50193295,Young caucasian man wearing a life jacket isolated on yellow background excited keeping ok gesture on eye.,0.72248,50193295_voice1_0.72248.wav
39591074,"Young chinese woman wearing a school uniform isolated on white background showing fist to camera, aggressive facial expression.",0.724054,39591074_voice0_0.724054.wav
16544136,Photo of cheerful happy amazed young woman shocked like hold phone isolated on pink color background,0.724146,16544136_voice8_0.724146.wav
92796988,Young hipster man wearing winter sweater excited for success with arms raised celebrating victory smiling. Winner concept.,0.724367,92796988_voice2_0.724367.wav
2972818,Photo of young cheerful girl hold paper card notification sms happy positive excited isolated over pink color background,0.724723,2972818_voice8_0.724723.wav
38838340,Young latin woman holding coffee filter and cup celebrating crazy and amazed for success with open eyes screaming excited.,0.724867,38838340_voice9_0.724867.wav
48332285,Young man with beard holding a mobile celebrating a victory in winner position,0.725311,48332285_voice1_0.725311.wav
8800659,Happy excited young asian man raising his fists doing yes gesture celebrating success,0.727076,8800659_voice0_0.727076.wav
37646683,Photo of crazy astonished young lady shout loud raise hands wear polka-dot clothes isolated on blue color background,0.727443,37646683_voice7_0.727443.wav
39908320,"Young caucasian woman holding burgers isolated on pink background showing fist to camera, aggressive facial expression.",0.727732,39908320_voice1_0.727732.wav
10497374,"Excited young adult female with pigtail holding positive pregnancy test, looking result with happy optimistic facial expression, raising han",0.728213,10497374_voice5_0.728213.wav
48301254,Young Colombian man holding a plant isolated on yellow background celebrating a victory in winner position,0.728722,48301254_voice6_0.728722.wav
33350471,"Studio image of happy funny joyful young lady keeping hands in fists, having success, being in good mood, wearing accessories, having cute s",0.729334,33350471_voice3_0.729334.wav
40038869,"Young chinese woman wearing a school uniform isolated on white background showing fist to camera, aggressive facial expression.",0.729525,40038869_voice3_0.729525.wav
39031968,"Young caucasian woman holding beach bag isolated on blue background showing fist to camera, aggressive facial expression.",0.729625,39031968_voice1_0.729625.wav
2842505,"Touching her cheeks with hand and smiling, smooth, flawless skin, young attractive woman brunette in a black t-shirt, sweater on white backg",0.7297,2842505_voice4_0.7297.wav
33215581,Young african american woman playing violin celebrating crazy and amazed for success with open eyes screaming excited.,0.729744,33215581_voice5_0.729744.wav
41185994,"Young hispanic woman holding pills isolated on blue background receiving a pleasant surprise, excited and raising hands.",0.730129,41185994_voice8_0.730129.wav
40305273,Young hispanic woman with curly hair wearing gym clothes and using headphones celebrating mad and crazy for success with arms raised and clo,0.730418,40305273_voice8_0.730418.wav
39319811,"Young asian woman holding an hair comb isolated receiving a pleasant surprise, excited and raising hands.",0.730706,39319811_voice0_0.730706.wav
40516526,Young sad woman of Asian ethnicity wear orange sweater glasses cover ears with hands fingers do not want to listen scream isolated on plain ,0.730856,40516526_voice6_0.730856.wav
10134723,You are welcome. cheerful positive young man smiling and opening his hands while standing in cabinet.,0.731001,10134723_voice5_0.731001.wav
50307557,"Young caucasian woman isolated on beige background celebrating a victory, passion and enthusiasm, happy expression.",0.731102,50307557_voice9_0.731102.wav
39319881,"Young caucasian woman holding an hair comb isolated receiving a pleasant surprise, excited and raising hands.",0.731158,39319881_voice2_0.731158.wav
48288975,Young handsome caucasian business man wearing funny thug life glasses celebrating crazy and amazed for success with arms raised and open eye,0.733647,48288975_voice4_0.733647.wav
39824793,Young hispanic woman wearing casual pink t shirt touching mouth with hand with painful expression because of toothache or dental illness on ,0.733721,39824793_voice9_0.733721.wav
49751467,Young arab man holding kurdistan flag celebrating achievement with happy smile and winner expression with raised hand,0.734202,49751467_voice0_0.734202.wav
36509362,"Young hispanic woman holding a plant isolated on blue background showing fist to camera, aggressive facial expression.",0.734459,36509362_voice4_0.734459.wav
38084449,"A portrait of a young Indonesian (Asian) woman wearing a pink shirt, looking nervous with her hand on her cheek. Isolated with a red backgro",0.734626,38084449_voice3_0.734626.wav
54861747,Young man wearing casual white t-shirt over white isolated background crazy and mad shouting and yelling with aggressive expression,0.734949,54861747_voice6_0.734949.wav
37910026,Young brunette arab woman wearing casual clothes touching mouth with hand with painful expression because of toothache or dental illness on ,0.735855,37910026_voice4_0.735855.wav
40654673,Young blonde woman 20s she wear pink tied shirt white t-shirt cover ears with hands fingers do not want to listen scream isolated on plain y,0.736903,40654673_voice1_0.736903.wav
84818452,Young beautiful blonde and blue eyes woman wearing blue t-shirt over isolated background celebrating surprised and amazed for success with a,0.737788,84818452_voice5_0.737788.wav
40356278,"Young african american woman isolated on yellow background celebrating a victory, passion and enthusiasm, happy expression.",0.737794,40356278_voice6_0.737794.wav
41166559,"Young woman wearing a Santa hat over white background very happy and excited making winner gesture with raised arms, smiling and screaming f",0.737828,41166559_voice3_0.737828.wav
36097249,"Young hispanic woman wearing casual clothes shouting frustrated with rage, hands trying to strangle, yelling mad",0.737864,36097249_voice5_0.737864.wav
34597096,Young chinese woman wearing artist look with beret holding manikin celebrating crazy and amazed for success with open eyes screaming excited,0.738166,34597096_voice4_0.738166.wav
49579918,Young handsome man wearing handyman uniform over yellow background celebrating surprised and amazed for success with arms raised and eyes cl,0.738966,49579918_voice0_0.738966.wav
46071568,"Young caucasian woman holding a recycled plastic isolated on pink background receiving a pleasant surprise, excited and raising hands.",0.739104,46071568_voice5_0.739104.wav
84314255,"Collage of beautiful braided hair african american woman over isolated background puffing cheeks with funny face. Mouth inflated with air, c",0.740123,84314255_voice0_0.740123.wav
39070506,Young african american plus size woman wearing casual clothes shouting with crazy expression doing rock symbol with hands up. music star. he,0.740451,39070506_voice5_0.740451.wav
16732371,"Happy young woman celebrating win looking at camera screaming with joy isolated on white studio wall, excited girl winner rejoice good resul",0.740515,16732371_voice7_0.740515.wav
39908507,"Young caucasian woman holding a recycled cardboard bag isolated on pink background showing fist to camera, aggressive facial expression.",0.740691,39908507_voice5_0.740691.wav
54242372,"Young arab man with beard with arms crossed gesture making fish face with mouth and squinting eyes, crazy and comical.",0.741862,54242372_voice2_0.741862.wav
33675208,Young beautiful blonde business woman wearing glasses over isolated background celebrating crazy and amazed for success with arms raised and,0.742126,33675208_voice8_0.742126.wav
37047800,"Young beautiful woman standing over pink background surprised with hand on head for mistake, remember error. forgot, bad memory concept.",0.742158,37047800_voice5_0.742158.wav
84304761,"Yeah, feeling cool and awesome. Excited happy young African American woman lifts mood from loud music, shows rock n roll gesture, glad to vi",0.742408,84304761_voice2_0.742408.wav
48263918,"Young arabian surgeon man isolated against on a blue background showing fist to camera, aggressive facial expression.",0.742624,48263918_voice2_0.742624.wav
10146622,"Friendly young woman smiling holds a book shows gesture two fingers, peace, victory, victory hand on a yellow background",0.742724,10146622_voice3_0.742724.wav
33620924,Young caucasian woman wearing bikini and summer hat celebrating crazy and amazed for success with arms raised and open eyes screaming excite,0.743371,33620924_voice0_0.743371.wav
35040253,"young woman african american feeling happy, surprised and proud, shouting and celebrating success with a big smile against flat wall",0.743636,35040253_voice0_0.743636.wav
14415660,"Image of excited young lady standing isolated over white background make winner gesture. girl winning and rejoicing, scream of joy, raising ",0.744222,14415660_voice9_0.744222.wav
42013621,Young hispanic woman wearing bikini over pink background celebrating mad and crazy for success with arms raised and closed eyes screaming ex,0.744361,42013621_voice1_0.744361.wav
35819841,"Young african american business woman with braids holding take away paper bag annoyed and frustrated shouting with anger, yelling crazy with",0.744796,35819841_voice3_0.744796.wav
41231556,Portrait of amazed young woman in pastel casual clothes keeping mouth open putting hands on cheeks isolated on gray background in studio. Pe,0.745083,41231556_voice3_0.745083.wav
41152237,Young brunette woman with short hair wearing casual summer clothes celebrating victory with happy smile and winner expression with raised ha,0.745631,41152237_voice2_0.745631.wav
37140278,"Young mixed race woman isolated on purple background raising fist, feeling happy and successful. Victory concept.",0.746005,37140278_voice9_0.746005.wav
34730025,"Young mixed race woman isolated on yellow background raising fist, feeling happy and successful. Victory concept.",0.74615,34730025_voice9_0.74615.wav
20117719,"Young hispanic business woman winking looking at the camera with sexy expression, cheerful and happy face.",0.747433,20117719_voice7_0.747433.wav
39031931,"Young hispanic woman holding a saucepan isolated on blue background showing fist to camera, aggressive facial expression.",0.747665,39031931_voice4_0.747665.wav
84314288,Young dark skinned woman makes triumph gesture exclaims loudly with happy expression celebrates awesome news wears sleepmask and casual clot,0.749419,84314288_voice7_0.749419.wav
48274746,"Young arabian cool man holding a boarding passes isolated showing fist to camera, aggressive facial expression.",0.751452,48274746_voice9_0.751452.wav
16089528,Photo portrait of crazy screaming girl raising fist up holding phone in one hand isolated on vivid cyan colored background,0.752842,16089528_voice0_0.752842.wav
6418982,Portrait of attractive amazed cheerful lucky woman clapping palms isolated over bright blue color background,0.753881,6418982_voice6_0.753881.wav
14528577,Portrait of lucky cheerful schoolchild raise fists success achieve isolated on blue color background,0.754632,14528577_voice5_0.754632.wav
84313387,"Indoor shot of successful overjoyed dark skinned female student clenches fists, has shining smile, looks with happiness, rejoices passed exa",0.755194,84313387_voice2_0.755194.wav
41978442,"Image of cheerful African American female keeps hands in praying gesture, has happy expression, glad to have good luck, stands against brigh",0.755459,41978442_voice4_0.755459.wav
54546673,Young hispanic man wearing christmas hat celebrating mad and crazy for success with arms raised and closed eyes screaming excited. winner co,0.755653,54546673_voice7_0.755653.wav
38728652,Young african american skier woman isolated smiling and raising thumb up,0.758315,38728652_voice6_0.758315.wav
53733148,Friendly young man doing a gesture of admiration,0.758315,53733148_voice8_0.758315.wav
10290054,Happy female woman exults for good opportunity,0.758323,10290054_voice3_0.758323.wav
34756081,Young caucasian woman isolated on white background keeping eyes opened to find a success opportunity.,0.758324,34756081_voice4_0.758324.wav
35526024,Young African American woman isolated keeping eyes opened to find a success opportunity.,0.758324,35526024_voice0_0.758324.wav
49898392,Young african american man isolated on white background keeping eyes opened to find a success opportunity.,0.758324,49898392_voice9_0.758324.wav
36781666,"Young fitness russian woman surprised, feels successful and prosperous. Holding a jump rope.",0.758324,36781666_voice5_0.758324.wav
49778816,Young caucasian man isolated on white background keeping eyes opened to find a success opportunity.,0.758324,49778816_voice5_0.758324.wav
34285607,Young caucasian woman isolated on white background keeping eyes opened to find a success opportunity.,0.758324,34285607_voice0_0.758324.wav
49898306,Young hispanic man isolated on white background keeping eyes opened to find a success opportunity.,0.758324,49898306_voice7_0.758324.wav
40819882,Young african american woman isolated on white background excited holding a copy space on palm.,0.758325,40819882_voice3_0.758325.wav
34444972,"Young caucasian cute woman isolated on white background showing claws imitating a cat, aggressive gesture.",0.758327,34444972_voice5_0.758327.wav
50253426,Young woman over isolated purple background celebrating a victory,0.758327,50253426_voice7_0.758327.wav
41959909,Young hispanic woman isolated on purple background excited keeping ok gesture on eye.,0.758327,41959909_voice3_0.758327.wav
54325532,Young man in sitting position with a worry gesture,0.758327,54325532_voice7_0.758327.wav
38415014,Young african american afro woman isolated shouting excited to front.,0.758328,38415014_voice0_0.758328.wav
11554963,Brunette girl with glasses isolated on a white background,0.758328,11554963_voice1_0.758328.wav
46211970,Young cute brazilian woman isolated excited keeping ok gesture on eye.,0.758328,46211970_voice8_0.758328.wav
48238943,Adult happy man agreement gesturing thumbs up,0.758328,48238943_voice6_0.758328.wav
50418795,Young african american woman isolated on white background showing victory sign and smiling broadly.,0.758329,50418795_voice7_0.758329.wav
41978223,Young caucasian woman isolated on white background showing victory sign and smiling broadly.,0.758329,41978223_voice5_0.758329.wav
42155266,Young woman over isolated white background smiling and showing victory sign,0.758329,42155266_voice2_0.758329.wav
50095837,Young caucasian man isolated on white background showing victory sign and smiling broadly.,0.758329,50095837_voice2_0.758329.wav
44391015,Young caucasian woman isolated on green background showing victory sign and smiling broadly.,0.758329,44391015_voice7_0.758329.wav
39060433,Young dietician asian woman isolated on white background showing victory sign and smiling broadly.,0.758329,39060433_voice8_0.758329.wav
50436582,Young African American woman isolated showing victory sign and smiling broadly.,0.758329,50436582_voice6_0.758329.wav
41966563,Excited young brunette woman standing isolated,0.758329,41966563_voice4_0.758329.wav
50420956,Young caucasian woman isolated on white background showing victory sign and smiling broadly.,0.758329,50420956_voice2_0.758329.wav
50089254,Young latin man isolated on white background smiling and showing victory sign,0.758329,50089254_voice3_0.758329.wav
48599105,Young hispanic cool man excited keeping ok gesture on eye.,0.75833,48599105_voice2_0.75833.wav
