"Chinese","Fitted"
"打响指","snapping fingers"
"汽车共享","car share"
"热带灌木","plant"
"禽流感病毒","virus"
"著名作曲家","composer"
"体检台","examination table"
"刺猬头","hedgehog"
"可生物降解材料","biodegradable"
"日本式旅店","hotel"
"毛尖","hair"
"水下落","water drop"
"真人角色扮演玩家","larp"
"自助餐厅员工","worker"
"首次公演","premiere"
"从农场到餐桌","farm-to-table"
"奇异服装","exotic clothing"
"少量物体","a few objects"
"木匠美男","beautiful carpenter"
"美容职业","beauty profession"
"致幻毒品","psychedelic drugs"
"轮流抛接","catching"
"gen","gen"
"三节长套筒","three-section sleeve"
"主菜盘","entrée plate"
"冷食类","cold food"
"形式安装","formal installation"
"救护服务职位","ambulance service position"
"租赁合同","rental contract"
"西方文化","western culture"
"运动护腕","sports wristband"
"铬合金","chrome alloy"
"b","b"
"own","own"
"不走寻常路","off the beaten path"
"卡车停车区","truck parking area"
"吃药丸","take pills"
"水中呼吸器","scuba diving apparatus"
"牛皮纸","kraft paper"
"社会保险","social security"
"chooses","chooses"
"well-lit","well-lit"
"what","what"
"which","which"
"仅晴空","clear skies only"
"勇士式瑜伽姿势","warrior yoga pose"
"干草卷","hay roll"
"新时代","new era"
"热带植物图案","tropical plant pattern"
"生活指导","life coaching"
"羽饰丝绒帽","feathered velvet hat"
"跨斗摩托","sidecar motorcycle"
"e","e"
"企业停业","business closure"
"在底端","at the bottom"
"拟人","personification"
"混合年龄","mixed age"
"绿地","green space"
"蜿蜒","winding"
"观光船","tourism boat"
"远视","farsightedness"
"马术运动","equestrian sports"
"高原山地气候","high mountain climate"
"cat扫描仪","cat scanner"
"do","do"
"how","how"
"la","la"
"o","o"
"假装弹吉他","pretend to play guitar"
"学校餐","school meal"
"小房子","little house"
"工厂直销店","factory outlet store"
"年轻女人沐浴","young woman bathing"
"电视主持人","television host"
"直摇镜头","straight pan camera"
"磨光机","sandwasher"
"糖衣蛋糕","icing cake"
"红毯秀","red carpet show"
"腰包","waist bag"
"营业收入","business income"
"骑术运动","riding sports"
"exuding","exuding"
"knit","knit"
"seen","seen"
"一对","pair"
"停电","power outage"
"入围名单","shortlist"
"彩妆盘","makeup palette"
"染头发","hair dyeing"
"栏杆支柱","rail support"
"水生动植物","aquatic plants and animals"
"色彩增强","color enhancement"
"超大号","oversize"
"长方形会堂","rectangular hall"
"t","t"
"体检服","examination suit"
"充气艇","inflatable boat"
"切片吐司","slice of toast"
"四肢瘫痪者","quadriplegic"
"外币兑换","currency exchange"
"小罐","tint"
"年轻女人在水面上练习瑜伽","young woman practicing yoga on the water"
"智慧农业","smart agriculture"
"海滩充气球","inflatable beach ball"
"渔镇","fishing town"
"练习日","practice day"
"长跑","long-distance running"
"d","d"
"fitness:","fitness:"
"h","h"
"hury","hury"
"oasis:","oasis:"
"retouched","retouched"
"them","them"
"会计科目","accounting subject"
"和平百合科","peace lily family"
"审判日","judgment day"
"小型放大镜","magnifying glass"
"紫砂壶","purple clay teapot"
"超级保龄球赛","super bowling"
"钻探设备","drilling equipment"
"门卡","door card"
"颜料粉","pigment powder"
"风力发电站","wind power station"
"验眼设备","eye examination equipment"
"高清晰度电视","high-definition television"
"amidst","amidst"
"dark-skinned","dark-skinned"
"rearview","rearview"
"than","than"
"休闲船","leisure boat"
"国际足球赛","international football match"
"复印机","photocopier"
"汽车侧视镜","car side mirror"
"滨草","marine grass"
"炮弹休克","shell shock"
"称重工具","weighing tool"
"银行文件","bank document"
"1930-1939年图片","photos 1930-1939"
"upon","upon"
"传单","flyer"
"内置扬声器","built-in speaker"
"喇叭裤","flared pants"
"四头肌","quadriceps"
"图片编辑","photo editor"
"多车道公路","multi-lane highway"
"宽木躺椅","wide wooden lounge chair"
"屋顶露台","rooftop terrace"
"年龄对比","age comparison"
"快印黑白照","quick-print black-and-white photo"
"排水沟","gutter"
"智能汽车","smart car"
"枪的手势","gun gesture"
"桂林山水","guilin landscape"
"油布","oilcloth"
"糖葫芦","candied haws"
"绿橄榄","green olives"
"荧光","fluorescent"
"角质架眼镜","horn-rimmed glasses"
"透明度","transparency"
"面色白","pale complexion"
"面部精华","facial essence"
"clothed","clothed"
"was","was"
"乳清蛋白粉","whey protein powder"
"伤员","wounded"
"公共浴室","public bathroom"
"刻板印象","stereotype"
"呈六字形状","figure six"
"密封食品","sealed food"
"性别歧视","sexism"
"打电话手势","phone gesture"
"气泡衬垫包装","Bubble liner packaging"
"玩具吹卷","toy blow-up"
"白山野花","White Mountain wildflowers"
"装甲服","armored suit"
"训马技术","horse training techniques"
"金属板","metal plate"
"青椒","green pepper"
"飞溅的水滴","splashing water drops"
"食肉目","Carnivora"
"60年代风格","60s style"
"attention;","attention;"
"co","co"
"ordered","ordered"
"pl","pl"
"they","they"
"were","were"
"上犬式","Upward dog pose"
"从外向里看","Looking from the outside in"
"位置描述","Position description"
"医院院长","Hospital director"
"影像转移","Image transfer"
"护送队","Escort"
"数字0","Number 0"
"数字认证","Digital certification"
"未雨绸缪","Prepare for a rainy day"
"植物表皮","Plant epidermis"
"民用波段","Civilian band"
"游泳项目","Swimming event"
"牛奶泡沫","Milk foam"
"知名艺术家","Famous artist"
"硬盘驱动器","Hard drive"
"篮球比赛","Basketball game"
"草地围场","Grass paddock"
"讲座板","Lecture board"
"跪垫","Kneeling pad"
"造影扫描机","Angiography scanner"
"金属片","Metal sheet"
"隐形矫治","Invisible correction"
"食槽","Trough"
"also","but"
"ba","ba"
"but","bonus"
"en","throwing javelin"
"f","pretty young woman looking in the mirror"
"space)","contact"
"th","th"
"单车衫","cycling shirt"
"卷边裤","rolled pants"
"否认","denial"
"呼吸装置","Breathing device"
"地中海美食","In the ground Sea food"
"奖金","sea view room"
"家庭问题","family problems"
"投掷标枪","also"
"柱头","roster"
"植物温泉疗法","plant spa therapy"
"正在联系","car advertisement background"
"水及腰","water up to waist"
"水没脚踝","water up to ankles"
"汽车广告背景图","sea pink"
"海景房","stigma"
"海石竹","floor-to-ceiling windows"
"游乐园设施","amusement park facilities"
"漂亮的年轻女人照镜子","en"
"漏勺","slot"
"狩猎帽","hunting hat"
"竖起食指","raise index finger"
"紧急救援","emplate:snap"
"花名册","on the head"
"落地窗","empowerment"
"表演艺术职业","performing arts occupation"
"重启","restart"
"顶在头上","space)"
"马场","horse farm"
"骑着动物","riding animals"
"c","c"
"if","product booth"
"less","less"
"professionalism","professionalism"
"sh","sh"
"三角形式瑜伽姿势","triangle pose"
"产品展台","f"
"冬季服务","winter service"
"劳工节","labor day"
"印第安人","indian"
"变速杆","gear lever"
"复兴时期风格","revival style"
"大学选手","college athlete"
"安全钩","safety hook"
"宠物美容店","pet grooming shop"
"成衣","ready-to-wear"
"手术后的房颤","postoperative atrial fibrillation"
"撒出","spill"
"机动车背后视角","view from behind a motor vehicle"
"波普风","pop style"
"火绒草","edelweiss"
"熬夜","if"
"研磨食品","grinding food"
"立冬","beginning of winter"
"美好祝愿","staying up late"
"袖口","cuffs"
"运动员精神","sportsmanship"
"钢丝","wire"
"防晒服","sun protection clothing"
"","good wishes"
"ca","ca"
"di","di"
"environment:","environment:"
"massagers","massagers"
"nclusive","nclusive"
""note:"
"the"",""note:"
"the""
""portrait"
"special"",""portrait"
"special""
"sel","sel"
"seven","seven"
"warmi","warmi"
"中庸","moderate"
"传送证实","transmission verification"
"冷色调","cool colors"
"划船比赛","rowing race"
"反战徽标","antiwar logo"
"味噌酱","miso sauce"
"和着音乐点头","nodding to music"
"咬唇","lip bite"
"广角镜头","wide shot"
"手册封面","booklet cover"
"折纸工艺","origami"
"排便","defecation"
"桑椹","mulberry"
"毛毡制品","felt products"
"海上航道","seaway"
"液压车","hydraulic car"
"猛咬","bite"
"电子邮件收件箱","email inbox"
"电网","electric grid"
"篮球罚球","basketball free throw"
"纸制品","paper products"
"职业介绍所","job agency"
"自学","self-study"
"装饰艺术风格","art deco style"
"豁出去了","take it easy"
"进修","continuing education"
"金属格栅","metal grille"
"青年男子滑滑板","young man skateboarding"
"青瓷","celadon"
"can:","can:"
"connection:","connection:"
"got","got"
"i'm","i'm"
"leans","lean s"
"健康食物商店","health food store"
"冲浪游泳","surfing and swimming"
"医生对病人的态度","doctor's attitude towards patients"
"医药销售代表","pharmaceutical sales representative"
"变电所","electric substation"
"各式衬衫","shirts of all kinds"
"咬一口","take a bite"
"图腾","totem"
"塑料温室","plastic greenhouse"
"多年生植物","perennial plant"
"工具时代","tool age"
"感光过度","photographic overload"
"慈善活动","charity"
"文件管理","file management"
"新奇玩意","novelty"
"普罗梯亚木","protea tree"
"检波器阿尔姆","geophone alm"
"椰子汁","coconut juice"
"樱桃红色","cherry red"
"汽车头枕","car headrest"
"烤肉餐","grilled meat meal"
"牙齿整齐","straight teeth"
"用了环形闪光灯的图片","ring flash pictures"
"盂兰盆节","Obon festival"
"盘着手指","cross fingers"
"禁令","ban"
"空头支票","baked check"
"美国黑人历史","African American history"
"能源行业职位","energy industry jobs"
"自助快照亭","self-service photo booth"
"芒果","mango"
"荞麦面","soba noodles"
"蒲苇","pampas grass"
"蛋糕蜜饯","candied fruit cake"
"账单逾期","overdue bill"
"迅速变换频道","rapid channel change"
"(球类比赛的)中场休息","halftime"
"70年代风格","70s style"
"excitedly","excitedly"
"high-end","high-end"
"lower","lower"
"mont","mont"
"northw","northw"
"p","p"
"san","san"
"swatch","swatch"
"truckers","truckers"
"t形台","t-shaped stage"
"一道菜","a dish"
"三明治包","sandwich bag"
"人体肌肉结缔组织","human muscle connective tissue"
"伊斯兰教教法","sharia law"
"伐木","logging"
"六月节","Juneteenth"
"发酵","fermentation"
"向下移动至坐下","move down to sit"
"吸塑盒包装","blister pack"
"商业街","mall"
"女性室内休闲生活","women's indoor leisure life"
"宽屏","widescreen"
"宽边帽","wide-brimmed hat"
"开胃酱","appetizer sauce"
"手提式扬声器","portrait speaker"
"残障者标志","disability sign"
"比赛前","before the game"
"水资源保护","water conservation"
"流浪狗","stray dog"
"浮水圈","floating ring"
"渗透","osmosis"
"游泳圈","swimming ring"
"爬山四驱车","mountain climbing four-wheel drive"
"狗狗障碍赛","dog obstacle course"
"猩猩木","orangutan"
"生活服务","life service"
"用手装出触角","hand-made antennae"
"电视秀","tv show"
"盐渍食品","salted food"
"美女肖像","portrait of a beautiful woman"
"股东会","shareholders meeting"
"金属探测器","metal detector"
"钞票卷","money ticket"
"飞机机械工人","aircraft mechanic"
"马格丽特披萨","margherita pizza"
"骑具","riding gear"
"called","called"
"cd光盘","CD disc"
"creole","Creole"
"each","each"
"embodying","Embodying"
"indulges","Indulges"
"legged","Legged"
"por","por"
"shorthaired","shorthaired"
"so","So"
"themes:","Themes:"
"we","we"
"wi","Wi"
"y","Y"
"中国结","Chinese knot"
"军训营","Military training camp"
"初次会面","First meeting"
"办公室恋情","Office romance"
"动物喂养装置","Animal feeding device"
"动物相关的职业","Animal-related occupations"
"勇士式2","Warrior style 2"
"医疗补助","Medicaid"
"咬过","bitten"
"圣诞装饰蜡烛","Christmas decoration candle"
"头发梳到一侧","hair combed to one side"
"射击武器","Firing weapon"
"建筑的故事","Architecture story"
"思维车","Thinking car"
"手摇花","Hand-cranked flower"
"抛光鞋","Shoe polishing"
"日本武士刀","Japanese samurai sword"
"明星雇员","Celebrity employee"
"杂种猫","mutt"
"桔子酱","Orange marmalade"
"武士服","Samurai uniform"
"法国薄饼","French pancake"
"潜听哨","listening whistle"
"特有物种","Endemic species"
"猪嘴","Pig mouth"
"理毛行为","Grooming behavior"
"登革热","dengue fever"
"眼镜盒","Glass case"
"知名拳击手","Famous boxer"
"糖人","Sugar man"
"美式甜点","American dessert"
"美术设计室","art design studio"
"花边框","Flower frame"
"褐黄斑","brown spot"
"购物节","Shopping festival"
"车顶架","Roof rack"
"镶嵌图案","tessellation"
"问答","Question and answer"
"闲话乐队","Gossip band"
"青花瓷","Blue and white porcelain"
"面馆","Noodle shop"
"1960-1969年图片","pictures from 1960-1969"
"can't","can't"
"con","con"
"curly-haired","curly-haired"
"latin-american","latin-american"
"los","los"
"me","me"
"most","most"
"n","n"
"oneself","oneself"
"regimes","regimes"
"skeptical","skeptical"
"ye","ye"
"一群鸟","a flock of birds"
"不雅的","indecent"
"专业人生","professional life"
"中国园林","Chinese garden"
"中等动物群体","medium animal group"
"人造运动足","artificial sports foot"
"公亩","area"
"包装填充颗粒","packing filling particles"
"发网","hair net"
"咬牙","grit"
"固定百叶窗","fixed blinds"
"在线聊天","in online chat"
"头枕臂","headrest arm"
"嫦娥","chang'e"
"山楂浆果","hawthorn berries"
"带球上篮","dribble layup"
"干抹布","dry rag"
"年轮","annual rings"
"微开","slightly open"
"快乐的青年女人","happy young woman"
"悬挂玩具","hanging toys"
"打上白色蝴蝶结出席宴会","wear a white bow to attend a party"
"拍打","flapping"
"拔眉","eyebrow plucking"
"招工栏","job post"
"拳击型健身运动","boxing-type fitness exercise"
"接力赛","relay race"
"旋转刀片","rotating blade"
"月兔","moon rabbit"
"橡木桶","oak barrel"
"水果派","fruit pie"
"汉白玉","white marble"
"汽车天窗","car sunroof"
"海鱼","sea fish"
"漂亮的青年女人在卧室","beautiful young woman in bedroom"
"潘趣木偶","punch puppet"
"玛琪雅朵咖啡","macchiato coffee"
"石片","stone slices"
"神经系统","nervous system"
"累积赌注","jackpot"
"羊肉卷","lamb roll"
"美味馅饼","savory pie"
"联锁的","interlocking"
"肋骨","ribs"
"芭蕾扶手","ballet barre"
"茶艺师","tea artist"
"莫扎瑞拉奶酪","mozzarella cheese"
"蓬松丸子头","puffy bun"
"路钉","road spikes"
"金毛拉布拉多猎犬","golden labrador retriever"
"防水长靴","waterproof boots"
"隐蔽处","hiding place"
"飞机零件","aircraft parts"
"高尔夫球帽","golf cap"
"bondi","bondi"
"congenital","congenital"
"deliv","deliv"
"disability-","disability-"
"du","du"
"g","g"
"gazes","gazes"
"hikes","hikes"
"letting","letting"
"nurullah","nurul lah"
"para","para"
"phoneshe","phoneshe"
"promo","promo"
"r","r"
"say","say"
"tamarama","tamarama"
"trolleybusinessman","trolleybusinessman"
"un","un"
"wit","wit"
"一只眼睛","one eye"
"三色紫罗兰","pansy"
"人口统计","demographics"
"假装飞起来","pretend to fly"
"健身圈","fitness circle"
"偷听","eavesdropping"
"养生茶","health tea"
"农用喷雾器","farm sprayer"
"刀刃草","blade grass"
"切肉刀叉","carving knife and fork"
"四分之三侧脸","three-quarter profile"
"园艺剪刀","gardening shears"
"圆靶","target"
"奥密克戎变异株","Omicron variant"
"孝顺","filial piety"
"宗教职位","religious position"
"宽的边缘","wide edge"
"寻回（动物习性）","retrieve (animal habits)"
"将军","general"
"徒劳","futile"
"手术前","before surgery"
"护士办公室","nurse's office"
"拖车式房子","trailer house"
"挤蛋糕袋","squeeze cake bag"
"放松音乐","relaxing music"
"有钱有势的人","rich and powerful people"
"机动三轮车","motorized tricycle"
"桌上玩具","desk toys"
"沙皮狗","shar pei"
"海军外套","navy coat"
"消防帽","fire hat"
"消防队","fire brigade"
"混合饮料","mixed drink"
"珠针","beading needle"
"电工胶布","gaiter"
"硬毛刷","bristle brush"
"自建仓储","self-built storage"
"西医","Western medicine"
"赭色拉布拉多猎犬","ochre labrador retriever"
"越南粉","nice"
"足球宝贝","football babe"
"进口标志","imported sign"
"透明擦写板","transparent eraser board"
"酒店歌舞表演","hotel cabaret"
"酵母面包","sourdough bread"
"金枪鱼肉","tuna meat"
"长运动裤","long sweatpants"
"雅预防","ya prevention"
"露台别墅","terrace house"
"顶髻","topknot"
"鳗鱼","eel"
"been","been"
"che","che"
"coup","coup"
"engages","engages"
"few","few"
"jogging/","jogging/"
"lago","lago"
""life"
"leaning"",""life"
"leaning""
"palma","palma"
"redmond","redmond"
"seamlessly","seamlessly"
"snatch","snatch"
"somewhere","somewhere"
"sp","sp"
"st","st"
"toward","toward"
"tumultuous","tumultuous"
"yaowarat","yaowarat"
"下下签","bad fortune"
"东方现代女性居家生活人像","portraits of modern oriental women at home"
"个人追求","personal pursuit"
"分头","parting"
"初级水平","beginner level"
"剧场衣帽间","theater cloakroom"
"动物围栏","animal fence"
"动物毛刷","animal hair brush"
"包装蜡纸","wax paper for packaging"
"单人航行","single-person voyage"
"双重焦点透视","double-focus perspective"
"口红印","lipstick marks"
"喉部检查","throat check"
"图书发行","book publishing"
"图形打印","graphic printing"
"多余","redundant"
"小题大做","making a fuss"
"小龙虾","crawfish"
"工笔画","fine brushwork"
"已灭绝生物","extinct creatures"
"帮个忙","help"
"开关按钮","switch button"
"房车公园","RV park"
"投币望远镜","coin-operated telescope"
"拖绳","tow rope"
"排列整齐","lined"
"排泄物","excrement"
"摩洛哥塔吉锅","Moroccan tagine"
"故意破坏艺术行为","act of vandalism"
"教区牧师","parish priest"
"散养家禽","free range poultry"
"日式炖菜","Japanese stew"
"松属","pine"
"核电站","nuclear power plant"
"梧桐科植物","Sterculia plant"
"植物生长阶段","stages of plant growth"
"水手条纹衫","sailor stripe shirt"
"永眠","eternal sleep"
"注入水","injection water"
"涂脚趾甲油","toe nail polish"
"爬楼梯机","stair climbing machine"
"特哈诺音乐","Tejano music"
"电子合成器","electronic synthesizer"
"电子白板","electronic whiteboard"
"电影集","movie collection"
"电话交换中心","electric telephone exchange center"
"皮肤填充剂","dermal filler"
"短横位垂耳兔","short horizontal lop-eared rabbit"
"硬草帽","straw hat"
"红外摄影","infrared photography"
"纽约地铁","New York subway"
"线条画","line drawing"
"结婚宴会","wedding banquet"
"绞杀无花果树","strangler fig tree"
"罩单","sheet"
"老大哥","big brother"
"肉片","meat slice"
"芽草之类","bud grass and the like"
"菩提树","lind tree"
"蔓越莓豆","cranberry bean"
"贫困地区","Poverty-stricken areas"
"跨越鸿沟","cross the gap"
"车帽","hood"
"邮筒投信口","mailbox"
"青年女人起床","young woman getting up"
"食肉鸟","carnivorous bird"
"饰品花","ornament flower"
"香橙皮","orange peel"
"高膝袜","knee-high socks"
"髙缆索","high cable"
"鸡翼袖","chicken wing sleeves"
"30-40)","30-40)"
"au","au"
"bac","bac"
"charged","charged"
"del","del"
"e-mails","e-mails"
"even","even"
"fusine","fusine"
"gently","gently"
"greets","greets"
"i-90浮桥","i-90 floating bridge"
"its","its"
"juggles","juggles"
"kilimanjaro","kilimanjaro"
"let","Let"
"lo","lo"
"location:","Location:"
"mid-shot","mid-shot"
"ok","ok"
"okinawajapan","okinawajapan"
"poised","poised"
"proving","prov ing"
"realm","realm"
"resp","resp"
"sat","sat"
"se","se"
"smiled","smiled"
"southern","southern"
"spent","spent"
"spo","spo"
"thumbup","thumbup"
"transactions:","tra nsactions:"
"wea","wea"
"winemaker","Winemaker"
"woman’s","woman’s"
"wor","wor"
"下犬式","Downward dog"
"两个大拇指","Two thumbs"
"两个座位的桌子","Two-seat table"
"中东妇女","middle eastern woman"
"中国红","Chinese red"
"中老年伴侣","Middle-aged and elderly companion"
"乳牛","dairy cows"
"伸展手臂","Stretch arms"
"倒料口","spout"
"健身跑道","fitness track"
"击剑头盔","Fencing helmet"
"动物保护","animal protection"
"动物杂技","animal acrobatics"
"勒马前行","pull the reins"
"千里江山图","A thousand miles of mountains and rivers"
"印字杆","printed pole"
"咕咕霍夫蛋糕","Cuckoo Hof cake"
"咖啡冰沙","coffee smoothie"
"图钉图标","pin icon"
"在梯子上","on the ladder"
"坐膝盖上","Sit on knees"
"大开版","wide version"
"夹杀","clip"
"好主意","good idea"
"安全栅栏","Safety fence"
"实习牌照","Intern license plate"
"年会","annual meeting"
"年轻男子打篮球","young man playing basketball"
"年轻美女肖像","portrait of a young beauty"
"庭院摊市","yard market"
"归位","return to position"
"彩色照片","Color photo"
"快乐时光和欢乐的时刻","happy hour and happy moments"
"恭喜发财","congratulations on getting rich"
"意大利烤面包","italian toast"
"战斗戒指","battle ring"
"手工酿酒","Handmade wine"
"折叠桌","folding table"
"改革者","reformers"
"救护车人员","ambulance personnel"
"敲门","knock on the door"
"文化旅游","cultural tourism"
"无糖","sugar-free"
"日式门","Japanese door"
"明式家具","ming style furniture"
"杜松子","Juniper berries"
"水的凝结形态","Water condensation"
"汽车轮毂盖圈","car hubcap"
"法式砂锅","French casserole"
"泰国传统武术","Traditional Thai martial arts"
"洋食","Western food"
"漂亮的年轻女人洗泡泡浴","beautiful young woman taking bubble bath"
"牙医钩","dentist hook"
"玻璃瓶回收站","glass bottle recycling station"
"玻璃陶瓷炉","Glass ceramic stove"
"理发店招牌","barber shop sign"
"生鱼片寿司","sashimi sushi"
"留学","Study abroad"
"白杨类","poplars"
"白炽灯泡","incandescent light bulb"
"白色北京前喝水的年轻女性","young woman drinking water in front of white beijing"
"百分比号","percentage sign"
"短网拍墙球","short racket"
"破冰","Icebreaker"
"碎踵村","broken heel village"
"穿着运动装的青年女人站在冰箱前","young woman in sportswear standing in front of a refrigerator"
"粗麦面包","semolina bread"
"系住","tethered"
"红树","red mangrove"
"纯色","solid color"
"绿卡情缘","green card relationship"
"罗神","Losher"
"花园耙","garden rake"
"花瓣占卜","petal divination"
"苗族","Hmong people"
"莲藕","lotus root"
"蜜蜡脱毛","waxing hair removal"
"赛尔","Saier"
"迷幻艺术","psychedelic art"
"适配器","adapter"
"通风设备","Ventilation equipment"
"镇咳药","Cough medicine"
"长途车","Long-distance bus"
"长阴影","long shadows"
"露背装","Backless dress"
"青年男人在悬崖峭壁上攀岩","young man climbing on a cliff"
"青年男人在酒店客房里使用电脑","Young man using computer in hotel room"
"餐厅负责人","restaurant manager"
"马属","equine"
"驯鹿角服装","reindeer horn clothing"
"龟壳","tortoise shell"
"attrative","attrative"
"available)","available)"
""background"
"ticino"",""background"
"ticino ""
""barcelona"
"argentinian"",""barcelona"
"argentinian""
"becomes","becomes"
"bri","bri"
"capo","capo"
"cappuccinohe","cappuccinohe"
"conquer","conquer"
"crossarmed","crossarmed"
"crossedshe","crossedshe"
"c型脚夹","c-foot clip"
"d850","d850"
"don't","don't"
"dorm","dorm"
"el","el"
"emp","emp"
"guangdong","guangdong"
"had","had"
"home:","home:"
"homeportrait","homeportrait"
"ionian","ionian"
"liv","liv"
"low-lying","low-lying"
"lupus","lupus"
"monica","monica"
"obscured","obscured"
""outdoors"
"lofoten"",""outdoors"
"lofoten""
"parksocial","parksocial"
"pinscher","pinscher"
"punta","pu nta"
"re","re"
"roaster","roaster"
"runners:","runners:"
"spf","spf"
"straightening","straightening"
"su","su"
"sunr","sunr"
"sur","sur"
"surviving","Surviving"
"tr","tr"
"una","una"
"underneath","underneath"
"vi","vi"
"wh","wh"
"whistler","whistler"
"white-haired","white-haired"
"一棵树","a tree"
"不公平","unfair"
"东方女性居家生活人像","oriental women's home Home life portrait"
"两性之争","battle of the sexes"
"人工髋关节","artificial hip joint"
"休息中的滑板青年","skateboarding youth taking a break"
"修容刀","Grooming knife"
"做饭前祷告","prayer before meal"
"傻瓜相机镜头","point-and-shoot camera lens"
"儿童安全座椅","Child safety seat"
"公共饮食建筑","public eating building"
"冰冻甜食","frozen dessert"
"冲浪板控制","surfboard control"
"冷盘","cold cuts"
"剪纸","paper cutting"
"包含动物的运动","animal-involved sports"
"医院内勤","hospital clerk"
"匿名戒毒会","narcotics anonymous"
"南太平洋","south pacific"
"号码背心","number vest"
"名人踪迹","celebrity sightings"
"后腿站立","standing on hind legs"
"唢呐","Suona"
"国际学校","international school"
"处于困境","in a dilemma"
"夜间模式","night mode"
"大锅炉","big boiler"
"孤峰群","lonely peaks"
"安全气垫","Safety air cushion"
"家丑","Family scandal"
"寿司店","sushi restaurant"
"小鸡服","Chicken clothes"
"工作中的白领女性图片","white-collar women at work"
"巧克力涂层","Chocolate coating"
"年轻女子在家阳台使用笔记本电脑","Young woman using laptop on balcony at home"
"年轻女子美容肖像","Young woman beauty portrait"
"态度暧昧","Ambiguous attitude"
"思考问题的年轻女士","young lady thinking about a problem"
"手术缝合","surgery suture"
"手相术","palmology"
"打碟","dj"
"扶正帽子","Adjusting hat"
"抓玩具游戏","catch-up"
"护士帽","nurse hat"
"捏着鼻子","Pinching nose"
"搞怪头发","funny hair"
"撇","pick"
"政府官员","government official"
"无商标的","unbranded"
"日式火锅菜","Japanese hot pot"
"早期摇滚乐","early rock music"
"替代医务工作人员","alternative medical staff"
"有爪哺乳动物","clawed mammal"
"有褶衫","pleated shirt"
"有须蜥蜴","bearded lizard"
"格子棚","lattice shed"
"桥式起重机","Overhead crane"
"植物形态","plant morphology"
"植物生长过程","Plant growth process"
"气功","Qigong"
"汽艇赛","motorboat racing"
"汽车厂","car factory"
"浴室防滑垫","Bathroom non-slip mat"
"游戏室","game room"
"游泳比赛","swimming competition"
"滚轮垃圾桶","roller trash can"
"点心蛋糕","Dessert cake"
"燕尾旗","swallowtail flag"
"理发剪刀","Barber scissors"
"生新土豆","Raw new potatoes"
"电气总机","electric switchboard"
"电竞馆","e-sports gym"
"男子骑自行车","man riding a bicycle"
"睫毛和眉毛梳","eyelash and eyebrow combing"
"短茄克","short jacket"
"碱","alkali"
"秋季系列","fall collection"
"移动到卧位","Move to lying position"
"竹简","Bamboo slips"
"绿蠵龟","green turtle"
"美女妆面","beautiful makeup"
"老年大学","Senior university"
"脊髓灰质炎疫苗","polio vaccine"
"脑部手术","brain surgery"
"腹股沟","Groin"
"自责","self-blame"
"船上","on board"
"茶格玛","chagma"
"葡萄树叶","Grape leaf"
"蔬菜摊","vegetable stand"
"蜡染风格","Batik style"
"融合菜","fusion cuisine"
"西式衬衫","western shirt"
"观光巴士","tour bus"
